"","Region","Price","Year","Manufacturer","Model","Condition","Cylinders","Fuel","Odometer","Transmission","Drive","Size","Type","Paint_color","State","Lat","Long","JDM"
"4081","Cincinnati",31590,2019,"Ford","Ranger Supercrew Xlt Pickup","Good",NA,"Gas",25821,"Other","4WD",NA,"Pickup",NA,"OH",39.09,-84.51,"Non-JDM"
"4082","Baltimore",5991,2010,"Volkswagen","Jetta",NA,"5 cylinders","Gas",137636,"Automatic","FWD","Compact","Sedan","Black","MD",39.4441,-76.6076,"Non-JDM"
"4083","Stockton",12988,2017,"Dodge","Grand Caravan Passenger",NA,NA,NA,91900,NA,NA,NA,NA,NA,"CA",38.0189,-121.276,"Non-JDM"
"4084","Chattanooga",15990,2013,"Infiniti","Jx",NA,NA,"Gas",94157,"Automatic",NA,NA,"Other","Black","TN",35.9233,-84.0607,"JDM"
"4085","Oklahoma City",6500,2008,"Toyota","Rav4","Excellent","6 cylinders","Gas",146156,"Automatic","FWD",NA,"Suv","White","OK",35.5119,-97.6207,"JDM"
"4086","Bend",15995,2005,"Toyota","Tacoma Access Cab",NA,"6 cylinders","Gas",217230,"Manual","4WD",NA,"Pickup","White","OR",45.5742,-122.684,"JDM"
"4087","Greenville / Upstate",6800,2011,"Volvo","S40","Excellent","5 cylinders","Gas",81000,"Automatic","FWD","Mid-Size","Sedan","Black","SC",34.8285,-82.3516,"Non-JDM"
"4088","Wilmington",33990,2015,"Toyota","Tacoma Double Cab Pickup","Good","6 cylinders","Gas",22559,"Other","4WD",NA,"Pickup","White","NC",35.4,-80.59,"JDM"
"4089","Baltimore",15995,2017,"Toyota","Camry",NA,NA,"Gas",37620,"Automatic","FWD",NA,"Sedan","Silver","MD",38.7629,-77.4606,"JDM"
"4090","Baltimore",14988,2019,"Hyundai","Elantra",NA,"4 cylinders","Gas",10389,"Automatic","FWD",NA,"Sedan","White","MD",39.3136,-76.464,"Non-JDM"
"4091","Tucson",10000,2001,"Ford","Mustang Svt Cobra","Like new","8 cylinders","Gas",43500,"Manual","RWD",NA,"Convertible","Silver","AZ",32.2733,-110.766,"Non-JDM"
"4092","Lancaster",6500,1995,"Jeep","Wrangler Yj","Fair","4 cylinders","Gas",195020,"Automatic","4WD","Mid-Size","Other","Black","PA",39.9701,-76.1848,"Non-JDM"
"4093","Indianapolis",11990,2016,"Nissan","Sentra S Sedan 4d","Good",NA,"Gas",28515,"Automatic","FWD",NA,"Sedan","White","IN",39.77,-86.14,"JDM"
"4094","Pittsburgh",8780,2011,"Toyota","Camry","Excellent","4 cylinders","Gas",113373,"Automatic","FWD",NA,"Sedan","Grey","PA",40.3987,-80.0254,"JDM"
"4095","Southwest Michigan",26500,2015,"Chrysler","Town Country","Excellent","6 cylinders","Gas",59579,"Automatic","FWD","Mid-Size","Mini-Van","Custom","MI",42.654,-83.5803,"Non-JDM"
"4096","Lancaster",27495,2008,"GMC","Sierra",NA,NA,"Diesel",68725,"Automatic","4WD",NA,"Other","Black","PA",40.8945,-74.1524,"Non-JDM"
"4097","Orlando",8900,2014,"Toyota","Prius V","Good","4 cylinders","Hybrid",130000,"Automatic","FWD",NA,NA,NA,"FL",28.4871,-81.4082,"JDM"
"4098","Boise",11991,2009,"Toyota","Venza Awd","Excellent","6 cylinders","Gas",94158,"Automatic","4WD","Mid-Size","Wagon","White","ID",43.605,-116.612,"JDM"
"4099","San Diego",24988,2017,"Lexus","Ct",NA,NA,"Hybrid",30280,"Automatic",NA,NA,"Other","White","CA",32.8213,-117.153,"JDM"
"4100","Dubuque",12950,2012,"Mercedes-benz","C300 4matic Sport",NA,NA,"Gas",100455,"Automatic",NA,NA,NA,NA,"IA",44.8346,-91.5159,"Non-JDM"
"4101","Indianapolis",46990,2018,"Mercedes-benz","Mercedes-Amg","Good","6 cylinders","Gas",16984,"Automatic",NA,NA,"Convertible","Black","IN",39.77,-86.14,"Non-JDM"
"4102","Hudson Valley",27997,2018,"Subaru","Wrx","Excellent",NA,"Gas",46729,"Manual","4WD",NA,"Sedan","Red","NY",42.5982,-73.7083,"JDM"
"4103","Baltimore",14498,2015,"Honda","Fit",NA,"4 cylinders","Gas",26938,"Automatic","FWD","Mid-Size","Hatchback","Blue","MD",39.1157,-76.8923,"JDM"
"4104","Lansing",16590,2014,"Hyundai","Santa Fe Gls Sport","Good","6 cylinders","Gas",78785,"Automatic",NA,NA,"Other","Silver","MI",42.51,-84.65,"Non-JDM"
"4105","Western Slope",17494,2012,"Jeep","Grand Cherokee 4wd 4dr Laredo",NA,"6 cylinders",NA,77219,"Automatic","4WD",NA,"Suv","Custom","CO",39.0819,-108.589,"Non-JDM"
"4106","Vermont",13500,2015,"Subaru","Imprez Awd","Like new","4 cylinders","Gas",29527,"Manual","4WD","Compact","Hatchback","Blue","VT",44.459,-72.9552,"JDM"
"4107","Kenosha-Racine",3450,2008,"Ford","Taurus Sel X","Excellent","6 cylinders","Gas",172066,"Automatic","FWD",NA,NA,NA,"WI",42.5414,-87.8242,"Non-JDM"
